epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2179,4.35747,22.2434,1.436,0,0,0,0,0,83.4212,0,0.00024,0.00024,0.00024
2,84.5071,3.37485,8.65207,1.03479,0,0,0,0,0,82.4594,0,0.0004901,0.0004901,0.0004901
3,131.536,3.37239,8.89753,0.98301,0,0,0,0,0,81.5443,0,0.000729904,0.000729904,0.000729904
4,179.043,2.92487,5.03506,0.91845,0,0,0,0,0,77.4319,0,0.000959412,0.000959412,0.000959412
5,229.881,3.34838,5.86762,0.96888,0,0,0,0,0,65.4792,0,0.00117862,0.00117862,0.00117862
6,270.696,2.96147,4.44178,0.95672,0,0,0,0,0,58.4161,0,0.00138754,0.00138754,0.00138754
7,311.564,3.01441,5.50821,0.98108,0,0,0,0,0,54.4074,0,0.00158616,0.00158616,0.00158616
8,352.275,3.02837,4.79357,0.96439,0,0,0,0,0,48.9392,0,0.0017228,0.0017228,0.0017228
9,392.145,2.8715,4.64731,0.93168,0,0,0,0,0,43.1373,0,0.0016832,0.0016832,0.0016832
10,432.362,2.74437,4.33648,0.92192,0,0,0,0,0,45.8175,0,0.0016436,0.0016436,0.0016436
11,473.652,2.67982,6.21162,0.8813,0,0,0,0,0,46.2294,0,0.001604,0.001604,0.001604
12,516.495,2.89092,4.34811,0.93785,0,0,0,0,0,44.0699,0,0.0015644,0.0015644,0.0015644
13,558.516,2.97223,4.23295,0.92104,0,0,0,0,0,48.3278,0,0.0015248,0.0015248,0.0015248
14,599.731,2.90539,3.38167,0.93132,0,0,0,0,0,61.9992,0,0.0014852,0.0014852,0.0014852
15,641.117,2.90399,3.37013,0.91641,0,0,0,0,0,61.3512,0,0.0014456,0.0014456,0.0014456
16,681.833,2.76924,3.40171,0.91226,0,0,0,0,0,57.0464,0,0.001406,0.001406,0.001406
17,724.319,2.78362,3.28147,0.92002,0,0,0,0,0,50.0404,0,0.0013664,0.0013664,0.0013664
18,766.87,2.77687,2.77543,0.90719,0,0,0,0,0,50.7403,0,0.0013268,0.0013268,0.0013268
19,808.999,2.74809,4.04601,0.9085,0,0,0,0,0,47.6269,0,0.0012872,0.0012872,0.0012872
20,854.761,2.56184,3.55793,0.87216,0,0,0,0,0,40.4852,0,0.0012476,0.0012476,0.0012476
21,896.661,2.5464,2.76822,0.88443,0,0,0,0,0,42.5104,0,0.001208,0.001208,0.001208
22,939.168,2.61038,2.88767,0.89066,0,0,0,0,0,45.5597,0,0.0011684,0.0011684,0.0011684
23,980.556,2.69127,3.01564,0.90661,0,0,0,0,0,40.9821,0,0.0011288,0.0011288,0.0011288
24,1022.55,2.6031,2.95342,0.88708,0,0,0,0,0,41.946,0,0.0010892,0.0010892,0.0010892
25,1065.35,2.63472,2.74285,0.92222,0,0,0,0,0,39.5373,0,0.0010496,0.0010496,0.0010496
26,1108.13,2.47384,2.54265,0.90698,0,0,0,0,0,37.5887,0,0.00101,0.00101,0.00101
27,1150.54,2.55932,2.37381,0.89131,0,0,0,0,0,36.2441,0,0.0009704,0.0009704,0.0009704
28,1193.1,2.51482,3.69536,0.87921,0,0,0,0,0,37.6502,0,0.0009308,0.0009308,0.0009308
29,1234.65,2.68625,2.25336,0.87841,0,0,0,0,0,36.7553,0,0.0008912,0.0008912,0.0008912
30,1276.66,2.52303,2.38676,0.87695,0,0,0,0,0,36.7931,0,0.0008516,0.0008516,0.0008516
31,1318.78,2.60446,2.37361,0.89813,0,0,0,0,0,40.1313,0,0.000812,0.000812,0.000812
32,1360.33,2.40447,2.26067,0.87876,0,0,0,0,0,40.7432,0,0.0007724,0.0007724,0.0007724
33,1403.03,2.71158,2.57758,0.89833,0,0,0,0,0,38.2465,0,0.0007328,0.0007328,0.0007328
34,1444.48,2.48084,2.02271,0.87009,0,0,0,0,0,36.66,0,0.0006932,0.0006932,0.0006932
