epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4435,4.35586,22.2347,1.43559,0.00049,0.07407,0.00028,5e-05,3.2232,8.03467,0.96642,0.00024,0.00024,0.00024
2,60.7329,3.35545,8.56576,1.03409,0.00148,0.22222,0.00105,0.00026,2.5783,7.01898,0.8977,0.0004901,0.0004901,0.0004901
3,100.657,3.37839,8.78218,0.9822,0.00123,0.18519,0.00093,0.00022,2.57556,6.8047,0.8719,0.000729904,0.000729904,0.000729904
4,140.094,2.94586,5.14327,0.9206,0.00284,0.42593,0.00288,0.00083,2.60597,6.59062,0.88421,0.000959412,0.000959412,0.000959412
5,174.352,3.33081,6.00718,0.97159,0.00407,0.61111,0.01333,0.00383,2.74581,5.72056,0.87191,0.00117862,0.00117862,0.00117862
6,190.284,3.00195,4.55814,0.96395,0.0058,0.87037,0.32435,0.09555,2.6424,4.91815,0.88195,0.00138754,0.00138754,0.00138754
7,222.18,2.99623,5.40964,0.96792,0.41858,0.31481,0.26575,0.061,3.02477,4.5332,0.925,0.00158616,0.00158616,0.00158616
8,259.38,3.09908,4.74519,0.97201,0.1885,0.07407,0.15093,0.03634,3.26644,4.2506,0.94489,0.0017228,0.0017228,0.0017228
9,290.088,2.80564,4.5657,0.92733,0.01714,0.38889,0.0178,0.00452,2.76871,18.5257,0.88966,0.0016832,0.0016832,0.0016832
10,328.23,2.77979,4.32024,0.9253,0.25073,0.18519,0.27162,0.05887,2.96148,3.61791,0.91687,0.0016436,0.0016436,0.0016436
11,366.569,2.71125,6.29437,0.88897,0.37363,0.51852,0.35282,0.08438,2.76183,3.26277,0.88668,0.001604,0.001604,0.001604
12,405.004,2.72004,4.19172,0.9268,0.28833,0.38269,0.18667,0.0584,2.55582,5.44761,0.87801,0.0015644,0.0015644,0.0015644
13,441.262,2.81498,4.10879,0.91461,0.43575,0.35762,0.31678,0.10339,2.58882,3.56058,0.88408,0.0015248,0.0015248,0.0015248
14,470.651,2.74992,3.27828,0.91741,0.47796,0.55556,0.44358,0.11472,2.57163,3.4369,0.87426,0.0014852,0.0014852,0.0014852
15,509.545,2.7614,3.37139,0.90125,0.34464,0.51852,0.3618,0.09399,2.7219,3.01526,0.88363,0.0014456,0.0014456,0.0014456
16,551.041,2.79573,3.38638,0.91327,0.36174,0.50382,0.32782,0.09168,2.7248,3.0003,0.9057,0.001406,0.001406,0.001406
17,593.475,2.78331,3.19354,0.92215,0.46356,0.64017,0.53362,0.13354,2.72511,2.98534,0.90452,0.0013664,0.0013664,0.0013664
18,635.209,2.62784,2.72721,0.89357,0.56017,0.77831,0.66265,0.19109,2.56667,2.60241,0.89216,0.0013268,0.0013268,0.0013268
19,676.985,2.61923,3.78957,0.89351,0.61875,0.75144,0.66579,0.19376,2.50735,2.4781,0.86864,0.0012872,0.0012872,0.0012872
20,718.833,2.61802,3.48301,0.87309,0.47356,0.61641,0.49085,0.13787,2.66791,2.59644,0.87373,0.0012476,0.0012476,0.0012476
21,761.029,2.53115,2.78593,0.88345,0.62033,0.72222,0.68569,0.21693,2.36086,2.39884,0.85397,0.001208,0.001208,0.001208
22,801.639,2.73004,2.96771,0.89653,0.08765,0.7037,0.07582,0.02693,2.47144,11.3596,0.90815,0.0011684,0.0011684,0.0011684
23,843.652,2.69354,3.02363,0.91233,0.34556,0.34232,0.27442,0.1024,2.68304,3.47265,0.94677,0.0011288,0.0011288,0.0011288
24,885.547,2.62525,2.92557,0.88933,0.39201,0.59259,0.36638,0.10506,2.75976,3.00025,0.91731,0.0010892,0.0010892,0.0010892
25,927.215,2.69365,2.67235,0.92862,0.62882,0.5648,0.5973,0.1504,2.68867,2.58312,0.89651,0.0010496,0.0010496,0.0010496
26,968.956,2.4499,2.55619,0.90231,0.7005,0.59259,0.73173,0.17787,2.72812,2.42214,0.91326,0.00101,0.00101,0.00101
27,994.051,2.67012,2.39569,0.91076,0.61148,0.64128,0.63214,0.18141,2.79735,2.28651,0.92202,0.0009704,0.0009704,0.0009704
